RADICADO;TIPO DE CLIENTE;TIPO TRAMITE;SEGMENTO CLIENTE;COMENTARIO;CLASIFICACION
1668197470783-51;DETRACTOR;Levantamiento De Hipoteca;CLASICO;*es diferente hacer el levantamiento de hipoteca en bogota o en otro lugar, surgieron muchos inconvenientes.;INCONFORMIDAD SERVICIO
1-29252896405;DETRACTOR;Levantamiento De Hipoteca;CLASICO;*tuve muchas dudas y nunca me las resolvieron. *no me explicar muy bien los pasos a seguir.;CLARIDAD INFORMACION
1663867960852-18;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;muy demorado el tramite con la notaria;DEMORA TRAMITE
1659538547295-05;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM PLUS;todo lo manejan por internet, por correo esa empresa privada nunca contesta toco buscar esa oficina, la atencion virtual es buena pero no en estos casos. fue pesima y perversa;INCONFORMIDAD SERVICIO
1668701731408-56;DETRACTOR;Levantamiento De Hipoteca;CLASICO;nos perjudico la demora por parte de el equipo 100 cuadras, me gustaria que hubiera una linea de atencion donde uno se pueda comunicar directamente con un asesor y no desde un correo;DEMORA TRAMITE
Ces-1041255750;DETRACTOR;Certificaciones Especiales;CLASICO;Muy mal servicio llevo tres meses esperando la tarjeta y nunca me la entregaron en niguna de las 2 direcciones que les suministre;OTRO
Ces-1053843553;DETRACTOR;Certificaciones Especiales;CLASICO;No fue resulta mi solicitud. Me respondieron con algo totalmente distinto y sigo con el mismo problema.;FALTA DE RESPUESTA
1-32529892362;DETRACTOR;Levantamiento De Hipoteca;CLASICO;He intentado comunicarme con ustedes y no ha Sido posible voy al banco y me dan un numero telefonico y yo no tengo tarjeta con ustedes y no me dirigen con un asesor por la pagina tampoco puedo porque no me da la opcion de ingresar el numero de producto que tenia con ustedes la verdad no se como hacer;OTRO
1668702862049-81;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Siguen en pandemia y no hay una persona que se haga cargo de todo el proceso, cambian de empleado y el siguiente vuelve a empezar y le cambian los requisitos, son de muy mal humor,si el proceso nesecita 2 pasos no lo asesoran, simplemente lo dejan a la deriva uno o dos meses, el callcenter, no contestan nadie lo orienta,duraron ano y medio para hacer un levantamiento de una prenda sin deberles nada desde cuatro anos anteriores, les ofreci hacer otra prenda para liberar la que tenia, porque vendi el trailer prendario y me vi involucrado en una demanda por incumplimiento y esta es la que estoy esperando que escalonen mi propuesta. Porque no internamente hace cada departamento los procesos a que halla lugar, pase un derecho de peticion y no contestaron nada. Ustedes son unos abusivos y pusieron una barrera entre el cliente y ustedes a cuenta de la pandemia, en las oficinas bancarias si atendian y ustedes siguen en pandemia, vulnerando los derechos de sus victimas. Me averigue los correos de las(los) jefes y ni siquiera se dignaron contestar, si la cabeza no funciona, como funciona el cuerpo? Espero se hayan vacunado y atiendan a las personas personalmente y no se escondan detras de un computador que contestan despues de unos diez correos preguntando como va el proceso y le piden otro papel y vuelve y juega. Me pidieron que les comprobara que no debia nada, yo les conteste que si les devia pues que me cobraran, me pidieron copia de la tarjeta de propiedad donde aparecia la prenda,y luego que tenia que traer un certificado de tradicion para ver si era verdad que estaba con prenda, todo esto con unos inerbalos de tiempo hasta de un mes.;INCONFORMIDAD SERVICIO
1668799132500-78;DETRACTOR;Levantamiento De Hipoteca;CLASICO;ME FUE MUY MAL, Y FINALMENTE SI SE RESOLVIO;INCONFORMIDAD SERVICIO
1-31427203031;DETRACTOR;Levantamiento De Hipoteca;PREMIUM PLUS;me informaron del levantamiento de la hipoteca como dos meses despues y necesitaba saber rapido de ella;DEMORA TRAMITE
1-33065692703;DETRACTOR;Copia De Documentos Cartera;CLASICO;Luego de solicitar el documento desde el 13 de diciembre y que me dijeran que tenian mal mi correo cuando siempre me llega cumplidamente el extracto para el cobro del credito, me lo enviaron el 19 de enero y eso, por interponer una queja en la Superfinanciera. Eso no tiene presentacion de parte del banco. Decepcionado con el proceso.;ENTREGA DOCUMENTOS
1668626937612-15;DETRACTOR;Levantamiento De Hipoteca;CLASICO;ME TOCO COLOCAR ABOGADO Y PERDER PLATA Y NO ME PARECIO PORQUE YO NO TUVE LA CULPA SINO EL BANCO QUE NO HIZO EL DESEMBOLSO Y SI APARECIA EL CREDITO.;INCONFORMIDAD SERVICIO
1668629318176-50;DETRACTOR;Levantamiento De Hipoteca;CLASICO;NUNCA ME DIERON UNA INFORMACION CONCISA, NUNCA ME COLABORARON ME GUSTARIA QUE EL PERSONAL QUE ATIENDE DAVIVIENDA SEPA DE LO QUE UNO LES HABLA, HAY ALGUNOS FUNCIONARIOS QUE SON MUY HOSTILES CUANDO UNO NO ESTA CONFORME CON LA INFORMACION QUE SE ESTA PIDIENDO Y YO REPETI EL PROCESO TRES VECES ENTONCES DEBERIAN CONOCER EL FUNCIONAMIENTO. DURE 7 MESES PARA HACER ESE LEVANTAMIENTO Y ERA POR UNA BOBADA QUE HUBIERAN TENIDO EL CONOCIMIENTO SE PUDO SOLUCIONAR EN 15 DIAS;CLARIDAD INFORMACION
Ces-43618069;DETRACTOR;Certificaciones Especiales;CLASICO;Muy mala atencion, no contestan en esa linea que tienen . Solo sirve para clientes , en al pagina nunca saben nada los asesoro es, lo mandan a uno para una oficina y de alla dicen que es por el telefono Solo les interesa ofrecer productos , pero los tramites que no generan dinero no los atienden;INCONFORMIDAD SERVICIO
CES-63353215;DETRACTOR;Certificaciones Especiales;CLASICO;La atencion por robot es muy lenta y limitante, aun estoy esperando nla llamada y es urgente el requerimiento;FALTA DE RESPUESTA
Ces-63393217;DETRACTOR;Certificaciones Especiales;CLASICO;La verdad no fue buena ya que nunca me enviaron el documento que solicite a traves del telefono rojo.;FALTA DE RESPUESTA
1-33140269798;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Ladrones hps;INCONFORMIDAD SERVICIO
Ces-76324367;DETRACTOR;Certificaciones Especiales;CLASICO;El sercicio, es muy malo, por chat no resuelven nada;INCONFORMIDAD SERVICIO
Ces-97612165;DETRACTOR;Certificaciones Especiales;CLASICO;Quedaron de enviarme una informacion a mi correo electronico y nunca llego el correo, no he podido hacer el proceso para el pago de la tarjeta de credito;FALTA DE RESPUESTA
Ces-1003240876;DETRACTOR;Certificaciones Especiales;CLASICO;;SIN COMENTARIO
Ces-1022941517;DETRACTOR;Certificaciones Especiales;CLASICO;Son una entidad bancaria muy mala he incumplida con los creditos que se solicitan.;INCONFORMIDAD SERVICIO
Ces-1026296370;DETRACTOR;Certificaciones Especiales;CLASICO;Pesimo servicio como el de siempre, no me vuelvan a enviar esto;INCONFORMIDAD SERVICIO
Ces-3152538084;DETRACTOR;Certificaciones Especiales;CLASICO;No llego mi tarjeta de credito;OTRO
Ces-1070954846;DETRACTOR;Certificaciones Especiales;CLASICO;No solucionan los requerimientos solicitados;FALTA DE RESPUESTA
Ces-1070954846;DETRACTOR;Certificaciones Especiales;CLASICO;Deberian colocar un call center que maneje la misma informacion, con todos sus funcionarios, ya que la informacion que manejan unos y otros es diferente, y en caso de que los funcionarios no puedan solicitar el requerimiento tener una persona que garantice dar solucion a la solicitudes que los operarios ni pueden solucionar;INCONFORMIDAD SERVICIO
Ces-1093740118;DETRACTOR;Certificaciones Especiales;CLASICO;Pesimo tenia un buen concepto del banco ahora paso a ser el banco mas ladron;INCONFORMIDAD SERVICIO
Pol-1098695671;DETRACTOR;Poderes Leasing;CLASICO;El banco no tiene seriedad para entregar los productos. Es la primera vez que me ocurre algo asi con una entidad financiera.;ENTREGA DOCUMENTOS
Ces-19443583;DETRACTOR;Certificaciones Especiales;CLASICO;He solicitado mi pas y Salvo durante varios llamados y aun no me lo han entregado;ENTREGA DOCUMENTOS
Ces-37901417;DETRACTOR;Certificaciones Especiales;CLASICO;Muy mal servicio recibido ayer lunes 23 de enero de 2023 en estos anos que llevo con el Banco gente nada profesional y muy prepotente sobretodo las que reciben las solicitudes de la tarjeta de credito mal muy mal pesimo el servicio;INCONFORMIDAD SERVICIO
Ces-38667793;DETRACTOR;Certificaciones Especiales;CLASICO;Tengo una experiencia super mala por negligencia del personal con 10 llamadas hecha por una tarjeta de credito y esta es la fecha que la tarjeta no la e Visto. Ya no llamare mas simplemente terminare de pagarla para cancelar .;OTRO
1-31573572707;DETRACTOR;Cambio De Condiciones(Cambio De Moneda);CLASICO;Malisima, me devolvieron el mismo tramite tres veces, por un error en el sistema. No lo recomiendo;INCONFORMIDAD SERVICIO
Ces-1036617132;DETRACTOR;Certificaciones Especiales;CLASICO;No me ha llegado y lo solicite con urgencia;FALTA DE RESPUESTA
Ces-1072421159;DETRACTOR;Certificaciones Especiales;CLASICO;El servicio es pesimo;INCONFORMIDAD SERVICIO
Ces-1075664587;DETRACTOR;Certificaciones Especiales;CLASICO;En el momento no conozco los extractos de mi credito. Ni con exactitud las fechas, tengo dudas del dinero del desembolso, no fuy informado anticipadamente ni para cuando tenia que pagar mi primera cota y si me escriben para cobrarme y los intereses por demora. No me siento contento con ese trato,con sus clientes.;OTRO
Ces-1102359083;DETRACTOR;Certificaciones Especiales;CLASICO;Me reservo;SIN COMENTARIO
Ces-1214743204;DETRACTOR;Certificaciones Especiales;CLASICO;;SIN COMENTARIO
Ces-39762739;DETRACTOR;Certificaciones Especiales;PREMIUM PLUS;Aburrida con Davivienda a mas no poder.;INCONFORMIDAD SERVICIO
1672071082439-49;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Por favor como leches quito la prenda de mi carro. Ya pague el credito hace 3 anos y no hay manera!!! Ademas que ostias es eso de tener que ir a tomar improntas y no se que lios. Ya pague el credito LISTO YA ESTA LIBRE;INCONFORMIDAD SERVICIO
Pol-43818574;DETRACTOR;Poderes Leasing;PREMIUM;No pasar de un asesor a otro sin resolver;INCONFORMIDAD SERVICIO
Ces-63482495;DETRACTOR;Certificaciones Especiales;CLASICO;No cumplen con lo solicitado;INCONFORMIDAD SERVICIO
1-32310098185;DETRACTOR;Poderes Leasing;BANCA PRIVADA;El proceso para cumplir los tramites requeridos por Davivienda para que yo pueda arrendar mi apto. Fue largo, confuso y tedioso. Parece que fuera un favor cuando en realidad yo soy quien pago. En particular pasaron 3 meses, muchos correos y varias llamadas para que vinieran a recoger mi firma en el Otrosi que Davivienda se inventa requerir;INCONFORMIDAD SERVICIO
1668611303409-52;DETRACTOR;Poderes Leasing;CLASICO;Que no hay coherencia con sus tramites y gestiones, volvio a llegar el extracto cobrando el. Impuesto por tercera vez;INCONFORMIDAD SERVICIO
Ces-80034035;DETRACTOR;Certificaciones Especiales;CLASICO;Totalmente inoportuno. Respuestas a medias y si no es porque se escalo el requerimiento al defensor, no dan respuesta.;FALTA DE RESPUESTA
Ces-80159550;DETRACTOR;Certificaciones Especiales;CLASICO;Una porqueria servicio;INCONFORMIDAD SERVICIO
Ces-24338855;DETRACTOR;Certificaciones Especiales;INCLUSION;Reprocesos al llamar, rebota la llamada en varias personas sin que logren solucionar luego dicen enviar documentos que nunca llegan al correo, pesimo servicio;INCONFORMIDAD SERVICIO
Ces-35514776;DETRACTOR;Certificaciones Especiales;PREMIUM;No me dieron ni solucion ni explicacion coherente;FALTA DE RESPUESTA
Ces-53100823;DETRACTOR;Certificaciones Especiales;CLASICO;Como es posible que para realizar el pago total de una deuda o un pago mayor al minimo tenga que hacerse en ventanilla y no con PSE. tantas plataformas y todavia con esta obsolescencia. O es mala asesoria por parte del personal de atencion al cliente o todavia no han avanzado en tecnologia;OTRO
Ces-1030587115;DETRACTOR;Certificaciones Especiales;CLASICO;Empleados totalmente ineficientes;INCONFORMIDAD SERVICIO
Ces-52997265;DETRACTOR;Certificaciones Especiales;PREMIUM;No me dieron respuesta, no recibi en mi correo la informacion solicitada;FALTA DE RESPUESTA
1674491236245-75;DETRACTOR;Certificaciones Especiales;PREMIUM;estoy siendo victima de fraude ya lo informe en la oficina de Davivienda donde tengo mi cuenta pero al parecer no hacen nada. estan intentando autenticar como si fuera yo. no visite ninguna oficina de Dsvivienda en estos dias ni llame realice ninguna operacion solicito sea reportado esto para que pongan una alerta. ya informe a la fiscalia. pero seria bueno que Dsvivienda ponga la alerta gracias;OTRO
1675261403537-96;DETRACTOR;Certificaciones Especiales;INCLUSION;He marcado varias veces y fui a la oficina y no han colaborado con lo solicitado;INCONFORMIDAD SERVICIO
CES-43165591;DETRACTOR;Certificaciones Especiales;CLASICO;Deshonestidad de funcionario de davivienda en santa Marta deben de investigar ya que fui victima de un robo y dentro del banco aparte de modificarme el documento no me dieron las recomendaciones y accesorias que debian de hacerlo. Por lo tanto deje un pqrs contando lo anteriormente dicho;OTRO
1-33787710490;DETRACTOR;Copia De Documentos Cartera;PREMIUM PLUS;Es el peor servicio no me han podido enviar los documentos y los pedi desde el dia 24 y la chica de cartera q me llamo creo q se llama laura y da informacion falsa no he podido realizar mi tramite por los asesores tan malos q trabajan en la entidad en este momento ando esperando la copia simple de la escritura q uno la enviaron la copia simple q no era y la copia q necesito para legalizar mi leasing no la he podido obtener ...quisiera saber q debo hacer para q por fin me llegue mi copia simple y pueda seguir realizando el tramite ... ya les puse varias solicitudes y lo q dicen es q hasta el 14 de febrero debo esperar la respuesta ..la verdad cartera esta vez a sido la peor atencion q he recibido durante tantos anos con el banco... quedo atento si me pueden colaborar para yo terminar mi tramite ya que ya pague honorarios ,envia la carta y pague y envia los certificados de libertad me gustaria q alguien de defensor al usuario me llamara pero esta vez quedo super desilucionado con el banco davivienda por su falta de seriedad de los funcionarios y q no le ayuden a uno a perfeccionar sus productos ... quedo atento...;INCONFORMIDAD SERVICIO
Ces-43540936;DETRACTOR;Certificaciones Especiales;CLASICO;Durante un mes estuve en espera de recibir la tarjeta y fue imposible .;OTRO
1-33822063702;DETRACTOR;Poderes Leasing;PREMIUM;Pesimo el servicio , muchas trabas para los Clientes que estamos al dia con mas Obligaciones y queremos pagar;INCONFORMIDAD SERVICIO
1675088317811-33;DETRACTOR;Poderes Leasing;CLASICO;No me han dado respuesta a mi requerimiento Incumplen promesa de contestar en 48 horas Necesito urgente el poder q solicite. Me estan afectando demasiado por lo demorado del proceso;FALTA DE RESPUESTA
Ces-66932210;DETRACTOR;Certificaciones Especiales;CLASICO;No solucionan. Groseros y cuelgan la llamada;INCONFORMIDAD SERVICIO
CES-1024560842;DETRACTOR;Certificaciones Especiales;CLASICO;Nunca llego el paz y salvo solicitado, la app no me deja ingresar;FALTA DE RESPUESTA
CES-1072447594;DETRACTOR;Certificaciones Especiales;CLASICO;Me corto la llamada sin darme una respuesta real de lo que sucedia. Una falta de respeto hacia los clientes;INCONFORMIDAD SERVICIO
Ces-1128267027;DETRACTOR;Certificaciones Especiales;CLASICO;Me pasaron de un area a otra, me enrutaron al menu principal varias veces, dijeron que me llamaban y nunca lo hicieron... sigo sin resolver mi solicitud;FALTA DE RESPUESTA
